,2_pointers,2_pointers_attempted,2pt_percentage,3_pointers,3_pointers_attempted,3pt_percentage,assists,blocks,defensive_rebounds,effective_field_goal_percentage,field_goal_percentage,field_goals,field_goals_attempted,free_throw_percentage,free_throws,free_throws_attempted,games,games_start,minutes_played,name,offensive_rebounds,personal_fouls,points,steals,total_rebounds,turnovers
31,1.1,2.0,.540,0.9,2.4,.363,2.9,0.0,2.1,.542,.444,1.9,4.4,.870,0.9,1.0,105,32,21.6,Ryan Arcidiacono,0.3,1.8,5.6,0.7,2.3,0.7
32,0.9,2.1,.426,1.5,4.1,.360,1.2,0.9,2.4,.502,.382,2.4,6.2,.807,0.7,0.9,66,19,16.8,Luke Kornet,0.6,1.0,6.9,0.5,3.0,0.6
33,2.2,4.5,.490,0.3,1.2,.261,2.0,0.4,2.5,.469,.442,2.5,5.7,.683,1.1,1.7,96,13,18.9,Shaquille Harrison,0.4,1.7,6.5,1.2,2.9,0.9
34,3.3,6.0,.544,0.0,0.1,.273,1.1,1.5,3.6,.542,.539,3.3,6.1,.572,1.1,2.0,405,152,20.1,John Henson,1.9,2.3,7.8,0.5,5.4,1.1
35,3.6,8.1,.445,1.6,4.5,.354,4.0,0.2,2.6,.476,.413,5.2,12.6,.812,2.5,3.0,421,346,30.1,Brandon Knight,0.6,2.0,14.5,0.9,3.2,2.5
36,3.7,7.0,.520,0.0,0.0,0,0.9,0.7,5.2,.519,.519,3.7,7.0,.610,1.9,3.0,562,378,27.8,Tristan Thompson,3.4,2.3,9.2,0.5,8.6,1.1
37,4.3,8.7,.496,1.4,4.1,.335,2.7,0.1,2.4,.498,.445,5.7,12.8,.815,1.9,2.4,382,138,27.6,Jordan Clarkson,0.9,1.7,14.7,0.9,3.2,1.7
38,3.0,5.3,.561,0.0,0.1,.136,1.9,0.7,4.6,.551,.550,3.0,5.5,.728,2.0,2.7,151,47,21.7,Bam Adebayo,1.9,2.3,8.0,0.7,6.5,1.2
39,2.7,5.0,.531,0.5,1.6,.305,2.1,0.9,2.8,.514,.477,3.1,6.6,.695,1.2,1.7,602,219,20.7,James Johnson,0.8,2.2,7.9,0.8,3.6,1.5
40,3.7,8.3,.443,1.4,3.9,.347,2.8,0.3,2.2,.468,.412,5.0,12.3,.692,1.7,2.5,409,211,28.4,Dion Waiters,0.4,1.9,13.2,0.9,2.7,1.8
