exp,name,pos,slug,team
4,Norman Powell,G,/players/p/powelno01.html,Toronto Raptors
3,Fred VanVleet,G,/players/v/vanvlfr01.html,Toronto Raptors
2,Malcolm Miller,F,/players/m/millema01.html,Toronto Raptors
2,Chris Boucher,F,/players/b/bouchch01.html,Toronto Raptors
1,Jordan Loyd,G,/players/l/loydjo01.html,Toronto Raptors
3,Patrick McCaw,G,/players/m/mccawpa01.html,Toronto Raptors
4,Stanley Johnson,F,/players/j/johnsst04.html,Toronto Raptors
4,Rondae Hollis-Jefferson,F,/players/h/holliro01.html,Toronto Raptors
6,Rudy Gobert,C,/players/g/goberru01.html,Utah Jazz
12,Mike Conley,G,/players/c/conlemi01.html,Utah Jazz
2,Donovan Mitchell,G,/players/m/mitchdo01.html,Utah Jazz
2,Tony Bradley,F-C,/players/b/bradlto01.html,Utah Jazz
2,Royce O'Neale,F,/players/o/onealro01.html,Utah Jazz
5,Joe Ingles,F-G,/players/i/inglejo01.html,Utah Jazz
4,Dante Exum,G,/players/e/exumda01.html,Utah Jazz
3,Georges Niang,F,/players/n/niangge01.html,Utah Jazz
5,Bojan Bogdanović,G-F,/players/b/bogdabo02.html,Utah Jazz
11,Ian Mahinmi,C,/players/m/mahinia01.html,Washington Wizards
7,Bradley Beal,G,/players/b/bealbr01.html,Washington Wizards
14,C.J. Miles,G-F,/players/m/milescj01.html,Washington Wizards
9,John Wall,G,/players/w/walljo01.html,Washington Wizards
1,Moritz Wagner,F-C,/players/w/wagnemo01.html,Washington Wizards
1,Troy Brown Jr.,G-F,/players/b/browntr01.html,Washington Wizards
1,Isaac Bonga,G,/players/b/bongais01.html,Washington Wizards
3,Dāvis Bertāns,F,/players/b/bertada01.html,Washington Wizards
1,Jemerrio Jones,F,/players/j/jonesje01.html,Washington Wizards
3,Jordan McRae,G,/players/m/mcraejo01.html,Washington Wizards
2,Thomas Bryant,C,/players/b/bryanth01.html,Washington Wizards
9,Ish Smith,G,/players/s/smithis01.html,Washington Wizards
8,Isaiah Thomas,G,/players/t/thomais02.html,Washington Wizards
3,Taurean Prince,F,/players/p/princta02.html,Brooklyn Nets
3,Caris LeVert,G-F,/players/l/leverca01.html,Brooklyn Nets
2,Jarrett Allen,C-F,/players/a/allenja01.html,Brooklyn Nets
1,Džanan Musa,G-F,/players/m/musadz01.html,Brooklyn Nets
1,Rodions Kurucs,F,/players/k/kurucro01.html,Brooklyn Nets
5,Joe Harris,G,/players/h/harrijo01.html,Brooklyn Nets
5,Spencer Dinwiddie,G,/players/d/dinwisp01.html,Brooklyn Nets
12,Kevin Durant,F-G,/players/d/duranke01.html,Brooklyn Nets
11,DeAndre Jordan,C,/players/j/jordade01.html,Brooklyn Nets
8,Kyrie Irving,G,/players/i/irvinky01.html,Brooklyn Nets
11,Wilson Chandler,F,/players/c/chandwi01.html,Brooklyn Nets
9,Garrett Temple,G,/players/t/templga01.html,Brooklyn Nets
1,Theo Pinson,G,/players/p/pinsoth01.html,Brooklyn Nets
3,David Nwaba,G,/players/n/nwabada01.html,Brooklyn Nets
3,Henry Ellenson,F,/players/e/ellenhe01.html,Brooklyn Nets
7,Michael Kidd-Gilchrist,F,/players/k/kiddgmi01.html,Charlotte Hornets
6,Cody Zeller,C-F,/players/z/zelleco01.html,Charlotte Hornets
11,Nicolas Batum,F-G,/players/b/batumni01.html,Charlotte Hornets
8,Bismack Biyombo,C-F,/players/b/biyombi01.html,Charlotte Hornets
14,Marvin Williams,F,/players/w/willima02.html,Charlotte Hornets
3,Willy Hernangómez,C,/players/h/hernawi01.html,Charlotte Hornets
2,Malik Monk,G,/players/m/monkma01.html,Charlotte Hornets
2,Dwayne Bacon,G,/players/b/bacondw01.html,Charlotte Hornets
1,Miles Bridges,G-F,/players/b/bridgmi02.html,Charlotte Hornets
1,Devonte' Graham,G,/players/g/grahade01.html,Charlotte Hornets
4,Terry Rozier,G,/players/r/roziete01.html,Charlotte Hornets
8,E'Twaun Moore,G-F,/players/m/mooreet01.html,New Orleans Pelicans
3,Brandon Ingram,F,/players/i/ingrabr01.html,New Orleans Pelicans
2,Lonzo Ball,G,/players/b/balllo01.html,New Orleans Pelicans
2,Josh Hart,G,/players/h/hartjo01.html,New Orleans Pelicans
10,Jrue Holiday,G,/players/h/holidjr01.html,New Orleans Pelicans
1,Frank Jackson,G,/players/j/jacksfr01.html,New Orleans Pelicans
9,Derrick Favors,F-C,/players/f/favorde01.html,New Orleans Pelicans
1,Kenrich Williams,G-F,/players/w/willike04.html,New Orleans Pelicans
4,Jahlil Okafor,C-F,/players/o/okafoja01.html,New Orleans Pelicans
13,J.J. Redick,G,/players/r/redicjj01.html,New Orleans Pelicans
